Player,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Kentavious Caldwell-Pope,76,75,2529,370,928,153,437,217,491,154,185,55,193,248,193,89,12,86,118,1047
Isaiah Canaan,39,0,592,63,173,25,94,38,79,30,33,6,43,49,37,22,1,20,35,181
Clint Capela,65,59,1551,362,563,0,0,362,563,94,177,178,348,526,64,34,80,87,179,818
DeMarre Carroll,72,72,1882,220,549,109,320,111,229,89,117,63,212,275,74,81,27,54,143,638
Vince Carter,73,15,1799,193,490,112,296,81,194,88,115,36,191,227,133,60,36,50,163,586
Michael Carter-Williams,45,19,846,112,306,15,64,97,242,58,77,24,128,152,113,38,23,66,102,297
Omri Casspi,72,4,1286,154,330,30,86,124,244,34,58,54,170,224,74,46,6,58,100,372
Willie Cauley-Stein,75,21,1421,255,481,0,2,255,479,101,151,85,255,340,80,53,45,69,147,611
Tyson Chandler,47,46,1298,153,228,0,0,153,228,91,124,154,385,539,30,33,24,67,126,397
Wilson Chandler,71,33,2197,433,939,110,326,323,613,141,194,103,356,459,141,52,30,114,172,1117
Marquese Chriss,82,75,1743,284,632,72,224,212,408,113,181,96,252,348,60,67,70,108,263,753
Rakeem Christmas,29,0,219,19,43,0,0,19,43,21,29,26,30,56,4,3,6,8,37,59
Semaj Christon,64,1,973,77,223,12,63,65,160,17,31,19,69,88,130,28,6,43,79,183
Ian Clark,77,0,1137,211,433,61,163,150,270,44,58,22,100,122,90,39,8,55,77,527
Jordan Clarkson,82,19,2397,477,1071,117,356,360,715,134,168,49,197,246,213,88,8,164,150,1205
Norris Cole,13,0,125,16,52,3,13,13,39,8,10,0,11,11,14,8,0,7,18,43
Darren Collison,68,64,2063,340,714,73,175,267,539,147,171,23,130,153,312,67,9,114,119,900
Nick Collison,20,0,128,14,23,0,1,14,22,5,8,9,21,30,12,2,2,4,17,33
Mike Conley,69,68,2292,464,1009,171,419,293,590,316,368,31,211,242,433,92,19,156,126,1415
Pat Connaughton,39,1,316,37,72,17,33,20,39,7,9,10,42,52,28,6,2,17,23,98
Quinn Cook,28,0,376,66,132,22,52,44,80,4,10,2,12,14,52,8,0,26,26,158
Robert Covington,67,67,2119,292,732,137,412,155,320,143,174,92,344,436,102,127,69,131,203,864
Allen Crabbe,79,7,2254,303,647,134,302,169,345,105,124,19,206,225,93,54,20,62,171,845
Jamal Crawford,82,1,2157,359,869,116,322,243,547,174,203,17,112,129,213,59,14,134,115,1008
Jordan Crawford,19,0,442,105,218,37,95,68,123,20,26,4,30,34,57,11,2,25,30,267
Jae Crowder,72,72,2335,333,720,157,394,176,326,176,217,48,367,415,155,72,23,79,161,999
Dante Cunningham,66,35,1649,174,359,71,181,103,178,16,27,56,221,277,36,39,28,28,100,435
Seth Curry,70,42,2029,338,703,137,322,201,381,85,100,25,153,178,188,79,7,92,126,898
Stephen Curry,79,79,2638,675,1443,324,789,351,654,325,362,61,292,353,523,143,17,239,183,1999
Troy Daniels,67,3,1183,185,495,138,355,47,140,43,54,21,79,100,46,21,4,45,90,551
Anthony Davis,75,75,2708,770,1527,40,134,730,1393,519,647,174,712,886,157,94,167,181,168,2099
Deyonta Davis,36,0,238,24,47,0,0,24,47,10,18,20,40,60,2,3,17,8,40,58
Ed Davis,46,12,789,75,142,0,0,75,142,50,81,96,147,243,27,15,22,37,137,200
Dewayne Dedmon,76,37,1330,161,259,0,0,161,259,65,93,129,366,495,44,37,61,61,180,387
Sam Dekker,77,2,1419,203,429,60,187,143,242,38,68,94,190,284,76,38,21,41,83,504
Malcolm Delaney,73,2,1248,145,388,26,110,119,278,75,93,11,113,124,193,39,1,95,112,391
Matthew Dellavedova,76,54,1986,208,534,79,215,129,319,82,96,24,123,147,357,53,0,133,153,577
Luol Deng,56,49,1486,164,424,51,165,113,259,46,63,63,232,295,74,48,20,43,61,425
DeMar DeRozan,74,74,2620,721,1545,33,124,688,1421,545,647,70,316,386,290,78,13,180,134,2020
