Player,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Chris McCullough,32,0,160,32,64,2,14,30,50,6,10,18,20,38,4,4,4,6,14,72
JaVale McGee,77,10,739,208,319,0,4,208,315,56,111,100,144,244,17,19,67,40,109,472
Rodney McGruder,78,65,1966,190,460,73,220,117,240,44,71,95,162,257,124,45,18,56,140,497
Ben McLemore,61,26,1176,180,419,65,170,115,249,70,93,19,111,130,51,29,6,62,108,495
Jordan McRae,37,4,384,58,150,18,51,40,99,27,34,6,34,40,19,8,6,14,31,161
Josh McRoberts,22,14,381,44,118,13,31,31,87,6,9,23,51,74,50,10,4,23,31,107
Jodie Meeks,36,10,738,103,256,56,137,47,119,65,74,5,72,77,45,34,4,36,41,327
Salah Mejri,73,11,905,88,137,1,3,87,134,36,61,97,211,308,14,32,61,40,152,213
Jordan Mickey,25,1,141,15,34,0,1,15,33,8,14,13,21,34,7,3,6,9,12,38
Khris Middleton,29,23,889,150,333,45,104,105,229,81,92,11,112,123,99,41,7,65,79,426
C.J. Miles,76,29,1776,281,647,169,409,112,238,84,93,30,199,229,48,46,25,40,151,815
Mike Miller,20,0,151,9,23,8,20,1,3,2,2,3,36,39,22,2,0,13,9,28
Patty Mills,80,8,1754,273,622,147,356,126,266,66,80,24,118,142,280,65,3,101,109,759
Elijah Millsap,2,0,23,1,7,0,2,1,5,1,2,3,3,6,1,0,0,2,2,3
Paul Millsap,69,67,2343,430,972,75,241,355,731,311,405,111,422,533,252,90,62,158,186,1246
Nikola Mirotic,70,15,1679,258,625,129,377,129,248,99,128,61,323,384,75,53,56,79,128,744
Greg Monroe,81,0,1823,387,726,0,4,387,722,177,239,167,365,532,187,92,38,140,168,951
E'Twaun Moore,73,22,1820,283,619,77,208,206,411,57,74,33,119,152,164,50,32,62,131,700
Marcus Morris,79,79,2565,421,1007,118,357,303,650,145,185,77,289,366,160,52,25,87,168,1105
Markieff Morris,76,76,2374,406,889,71,196,335,693,180,215,107,385,492,126,82,42,129,254,1063
Donatas Motiejunas,34,0,479,57,138,11,47,46,91,25,49,26,75,101,34,18,11,31,55,150
Timofey Mozgov,54,52,1104,169,328,0,1,169,327,63,78,104,160,264,43,16,31,72,133,401
Emmanuel Mudiay,55,41,1406,208,551,56,178,152,373,131,167,29,149,178,217,41,13,123,95,603
Shabazz Muhammad,78,1,1516,288,598,49,146,239,452,147,190,84,136,220,35,22,6,56,86,772
Dejounte Murray,38,8,322,50,116,9,23,41,93,21,30,6,36,42,48,8,6,38,29,130
Jamal Murray,82,10,1764,295,730,115,344,180,386,106,120,41,173,214,170,52,24,113,124,811
Mike Muscala,70,3,1237,170,337,46,110,124,227,49,64,76,164,240,95,30,41,55,97,435
Larry Nance Jr.,63,7,1442,190,361,10,36,180,325,59,80,120,249,369,96,82,40,56,149,449
Shabazz Napier,53,2,512,73,183,34,92,39,91,38,49,8,53,61,67,32,2,41,38,218
Maurice Ndour,32,4,331,39,86,1,7,38,79,19,26,22,42,64,8,15,8,12,30,98
Gary Neal,2,0,18,0,7,0,2,0,5,4,4,0,1,1,1,0,0,0,1,4
Jameer Nelson,75,39,2045,268,604,106,273,162,331,45,63,28,164,192,385,53,8,129,197,687
Raul Neto,40,0,346,41,91,10,31,31,60,8,9,4,26,30,34,21,5,15,48,100
Georges Niang,23,0,93,9,36,1,12,8,24,2,2,2,15,17,5,3,0,5,6,21
Andrew Nicholson,76,0,684,86,222,10,54,76,168,18,28,30,92,122,20,32,12,34,110,200
Joakim Noah,46,46,1015,99,201,0,1,99,200,34,78,161,241,402,103,30,37,58,127,232
Lucas Nogueira,57,6,1088,103,156,3,12,100,144,44,67,82,161,243,42,52,90,46,137,253
Steve Novak,8,0,22,2,7,1,6,1,1,0,0,0,3,3,0,0,0,0,1,5
Dirk Nowitzki,54,54,1424,296,678,79,209,217,469,98,112,23,330,353,82,30,38,51,113,769
David Nwaba,20,2,397,47,81,1,5,46,76,25,39,16,46,62,14,13,7,11,36,120
Johnny O'Bryant,22,0,160,30,60,6,12,24,48,10,12,18,20,38,12,0,2,12,20,76
Kyle O'Quinn,79,8,1229,215,413,2,17,213,396,64,83,157,282,439,117,36,104,76,174,496
Daniel Ochefu,19,0,75,12,27,0,0,12,27,0,2,5,17,22,3,2,0,3,17,24
Jahlil Okafor,50,33,1134,242,471,0,0,242,471,106,158,81,159,240,58,20,49,91,122,590
Victor Oladipo,67,67,2222,412,932,127,352,285,580,116,154,39,252,291,176,78,21,119,155,1067
Kelly Olynyk,75,6,1538,260,508,68,192,192,316,90,123,72,288,360,148,43,29,96,207,678
Arinze Onuaku,8,0,28,2,4,0,0,2,4,0,0,2,4,6,2,0,1,2,3,4
Chinanu Onuaku,5,1,52,5,7,0,0,5,7,4,4,2,8,10,3,3,1,4,6,14
Kelly Oubre,79,5,1605,186,442,54,188,132,254,75,99,61,199,260,47,58,17,49,195,501
Zaza Pachulia,70,70,1268,164,307,0,2,164,305,98,126,140,270,410,132,59,33,88,166,426
Georgios Papagiannis,22,0,355,56,102,0,2,56,100,12,14,24,62,86,20,3,17,24,44,124
Jabari Parker,51,50,1728,399,814,65,178,334,636,162,218,79,235,314,142,51,22,92,111,1025
Tony Parker,63,63,1587,265,569,23,69,242,500,85,117,9,104,113,285,33,2,89,92,638
Chandler Parsons,34,34,675,75,222,25,93,50,129,35,43,6,78,84,55,20,5,24,52,210
Lamar Patterson,5,0,40,3,15,1,6,2,9,2,3,1,6,7,6,1,0,4,6,9
Patrick Patterson,65,8,1599,154,384,94,253,60,131,43,60,62,229,291,76,40,23,38,120,445
Chris Paul,61,61,1921,374,785,124,302,250,483,232,260,41,263,304,563,118,8,147,146,1104
Adreian Payne,18,0,135,23,54,3,15,20,39,14,19,9,24,33,7,8,7,8,32,63
Cameron Payne,62,0,924,128,386,54,172,74,214,10,16,6,90,96,110,28,10,58,104,320
Elfrid Payton,82,58,2412,430,912,40,146,390,766,146,211,89,298,387,529,88,40,178,177,1046
Gary Payton,6,0,99,8,22,1,9,7,13,3,5,0,12,12,13,3,4,10,9,20
Paul Pierce,25,7,277,28,70,15,43,13,27,10,13,1,47,48,10,4,5,16,40,81
Marshall Plumlee,21,1,170,16,30,0,0,16,30,8,19,23,28,51,10,4,4,12,23,40
Jakob Poeltl,54,4,626,67,115,0,0,67,115,31,57,78,87,165,12,17,20,29,113,165
Otto Porter,80,80,2605,414,803,148,341,266,462,99,119,118,397,515,121,116,41,43,193,1075
Bobby Portis,64,13,1000,183,375,32,96,151,279,39,59,75,221,296,35,16,11,37,94,437
Kristaps Porzingis,66,65,2164,443,985,112,314,331,671,198,252,111,364,475,97,47,130,118,244,1196
Dwight Powell,77,3,1333,194,377,21,74,173,303,107,141,93,213,306,49,61,39,34,135,516
Norman Powell,76,18,1368,227,506,56,173,171,333,126,159,26,142,168,82,51,14,70,127,636
Alex Poythress,6,1,157,25,54,6,19,19,35,8,10,11,18,29,5,3,2,3,14,64
Ronnie Price,14,0,134,4,24,3,17,1,7,3,4,3,8,11,18,11,1,3,14,14
Tim Quarterman,16,0,80,13,29,5,13,8,16,0,3,4,10,14,11,2,3,11,6,31
Chasson Randle,52,0,598,80,196,32,94,48,102,82,86,12,52,64,68,18,4,38,78,274
Julius Randle,74,73,2132,377,773,17,63,360,710,204,282,151,485,636,264,49,37,173,248,975
Zach Randolph,73,5,1786,433,964,21,94,412,870,141,193,182,416,598,122,38,10,99,136,1028
J.J. Redick,78,78,2198,396,890,201,468,195,422,180,202,11,160,171,110,55,13,98,125,1173
Willie Reed,71,5,1031,162,285,1,4,161,281,49,88,129,203,332,26,18,47,31,137,374
Josh Richardson,53,34,1614,202,513,75,227,127,286,60,77,35,133,168,140,60,39,65,132,539
Malachi Richardson,22,0,198,28,68,8,28,20,40,15,19,3,20,23,11,5,1,8,23,79
Austin Rivers,74,29,2054,323,731,111,299,212,432,132,191,20,141,161,204,48,10,115,187,889
Andre Roberson,79,79,2376,215,463,45,184,170,279,47,111,98,304,402,79,94,79,51,204,522
Brian Roberts,41,2,416,46,122,17,44,29,78,33,39,5,34,39,52,9,1,26,18,142
Glenn Robinson,69,27,1426,158,338,49,125,109,213,54,76,57,188,245,47,41,20,37,63,419
Thomas Robinson,48,1,560,105,196,0,1,105,195,31,66,84,139,223,31,26,9,46,76,241
Sergio Rodriguez,68,30,1518,210,536,92,252,118,284,18,27,21,136,157,344,48,4,128,95,530
Rajon Rondo,69,42,1843,229,561,50,133,179,428,30,50,73,282,355,461,99,11,168,144,538
Derrick Rose,64,64,2082,460,977,13,60,447,917,221,253,66,180,246,283,44,17,147,84,1154
Terry Rozier,74,0,1263,151,411,57,179,94,232,51,66,40,187,227,131,45,11,47,69,410
Ricky Rubio,75,75,2469,261,650,60,196,201,454,254,285,68,237,305,682,128,10,195,202,836
Damjan Rudez,45,0,314,31,88,20,64,11,24,0,0,5,20,25,20,12,1,9,31,82
Brandon Rush,47,33,1030,70,187,44,114,26,73,13,18,16,83,99,45,22,23,28,42,197
D'Angelo Russell,63,60,1811,351,867,135,384,216,483,147,188,31,191,222,303,87,16,176,130,984
Domantas Sabonis,81,66,1632,192,481,51,159,141,322,44,67,45,242,287,82,39,32,83,200,479
Larry Sanders,5,0,13,1,4,0,0,1,4,2,2,3,1,4,0,1,1,2,5,4
Dario Saric,81,36,2129,381,927,106,341,275,586,172,220,112,401,513,182,57,30,183,162,1040
Tomas Satoransky,57,3,719,61,146,9,37,52,109,23,33,25,58,83,92,26,6,38,60,154
Dennis Schroder,79,78,2485,548,1215,100,294,448,921,218,255,42,206,248,499,74,16,258,149,1414
Luis Scola,36,1,461,71,151,17,50,54,101,25,37,51,88,139,37,14,4,34,63,184
Mike Scott,18,0,195,17,59,4,27,13,32,7,8,10,27,37,17,4,3,8,12,45
Thabo Sefolosha,62,42,1596,174,395,41,120,133,275,55,75,54,216,270,107,96,31,58,97,444
Wayne Selden,28,10,472,50,116,14,56,36,60,28,44,2,30,32,26,12,2,24,36,142
Kevin Seraphin,49,3,559,109,198,0,2,109,196,14,22,41,101,142,23,7,20,29,66,232
Ramon Sessions,50,1,811,100,263,21,62,79,201,91,118,11,62,73,129,26,3,46,43,312
Iman Shumpert,76,31,1937,201,489,94,261,107,228,71,90,39,180,219,109,62,27,78,150,567
Pascal Siakam,55,38,859,103,205,1,7,102,198,22,32,64,121,185,17,26,45,33,109,229
Jonathon Simmons,78,8,1392,177,421,30,102,147,319,99,132,20,140,160,126,47,25,76,146,483
Kyle Singler,32,2,385,34,83,7,37,27,46,13,17,8,40,48,9,7,5,11,29,88
Marcus Smart,79,24,2399,269,749,94,332,175,417,203,250,78,228,306,364,125,34,159,192,835
Ish Smith,81,32,1955,329,749,28,105,301,644,72,102,21,214,235,418,61,33,112,127,758
J.R. Smith,41,35,1187,123,356,95,271,28,85,10,15,17,96,113,62,40,11,26,77,351
Jason Smith,74,3,1068,174,329,37,78,137,251,35,51,64,194,258,37,21,55,58,168,420
Tony Snell,80,80,2336,246,541,144,355,102,186,47,58,22,226,248,96,54,14,55,125,683
Marreese Speights,82,2,1286,244,548,103,277,141,271,120,137,88,285,373,66,23,41,69,229,711
Tiago Splitter,8,0,76,14,31,2,6,12,25,9,11,8,14,22,4,1,1,6,8,39
Nik Stauskas,80,27,2188,251,634,132,359,119,275,122,150,21,205,226,188,45,32,128,144,756
Lance Stephenson,36,0,722,108,240,12,40,96,200,16,26,8,96,104,118,10,6,52,64,244
Jarnell Stokes,2,0,7,1,1,0,0,1,1,1,2,1,1,2,2,1,0,0,3,3
Diamond Stone,7,0,24,3,13,0,0,3,13,4,4,1,5,6,0,0,1,2,5,10
Rodney Stuckey,39,0,696,91,244,19,60,72,184,80,107,6,78,84,84,16,0,53,44,281
Jared Sullinger,11,1,118,15,48,3,18,12,30,4,8,10,17,27,3,4,1,4,17,37
Edy Tavares,4,0,56,8,10,0,0,8,10,0,6,8,14,22,2,0,12,4,6,16
Isaiah Taylor,4,0,52,1,7,0,2,1,5,1,2,1,2,3,3,1,1,0,6,3
Jeff Teague,82,82,2657,402,909,90,252,312,657,360,415,33,298,331,639,100,32,216,165,1254
Mirza Teletovic,70,2,1133,156,418,104,305,52,113,35,45,11,151,162,48,12,13,37,109,451
Garrett Temple,65,21,1728,183,432,82,220,101,212,58,74,32,151,183,169,84,28,78,141,506
Jason Terry,74,0,1365,105,243,73,171,32,72,24,29,15,91,106,98,45,20,36,95,307
Isaiah Thomas,76,76,2569,682,1473,245,646,437,827,590,649,43,162,205,449,70,13,210,167,2199
Lance Thomas,46,15,968,97,244,38,85,59,159,43,51,32,110,142,35,21,5,25,85,275
Hollis Thompson,80,18,1504,154,400,64,190,90,210,38,58,38,184,222,70,40,12,22,138,410
Klay Thompson,78,78,2649,644,1376,268,647,376,729,186,218,49,236,285,160,66,40,128,139,1742
Tristan Thompson,78,78,2336,262,437,0,3,262,434,106,213,287,429,716,77,39,84,64,176,630
Marcus Thornton,33,1,575,84,210,28,80,56,130,23,27,22,54,76,41,19,3,25,48,219
Mike Tobey,2,0,25,1,4,0,0,1,4,0,0,2,1,3,1,0,0,1,2,2
Anthony Tolliver,65,9,1477,155,351,90,230,65,121,61,82,51,188,239,77,33,20,56,109,461
Axel Toupane,8,0,94,10,18,2,8,8,10,0,0,0,2,2,0,2,2,0,12,22
Karl-Anthony Towns,82,82,3030,802,1479,101,275,701,1204,356,428,296,711,1007,220,57,103,212,241,2061
Evan Turner,65,12,1658,235,552,31,118,204,434,85,103,36,211,247,205,53,24,100,121,586
Myles Turner,81,81,2541,444,869,40,115,404,754,245,303,139,448,587,106,74,173,105,262,1173
Beno Udrih,39,0,560,92,197,11,32,81,165,32,34,6,51,57,131,13,0,37,29,227
Tyler Ulis,61,15,1123,184,437,21,79,163,358,55,71,20,75,95,226,48,5,77,73,444
Jarrod Uthoff,9,0,115,16,38,3,9,13,29,5,7,8,14,22,9,2,4,3,8,40
Jonas Valanciunas,80,80,2066,391,702,1,2,390,700,176,217,226,533,759,57,37,63,106,216,959
Denzel Valentine,57,0,976,102,288,73,208,29,80,14,18,11,140,151,63,30,7,49,86,291
Fred VanVleet,37,0,294,39,111,11,29,28,82,18,22,4,38,42,35,17,2,15,36,107
Anderson Varejao,14,1,92,5,14,0,0,5,14,8,11,12,15,27,10,3,3,8,16,18
Greivis Vasquez,3,0,39,2,8,1,3,1,5,2,3,0,2,2,5,1,1,1,6,7
Rashad Vaughn,41,2,458,57,156,26,81,31,75,2,5,4,45,49,23,19,10,14,32,142
Noah Vonleh,74,41,1265,130,270,7,20,123,250,60,94,131,256,387,31,30,27,64,154,327
Nikola Vucevic,75,55,2163,483,1031,23,75,460,956,107,160,176,603,779,208,77,74,117,180,1096
Sasha Vujacic,42,4,408,42,136,23,74,19,62,17,24,12,47,59,52,13,2,16,38,124
Dwyane Wade,60,59,1792,414,955,45,145,369,810,223,281,64,207,271,229,86,41,138,112,1096
Dion Waiters,46,43,1384,281,663,85,215,196,448,82,127,18,136,154,200,41,20,103,95,729
Kemba Walker,79,79,2739,643,1449,240,602,403,847,304,359,45,263,308,435,85,22,168,119,1830
John Wall,78,78,2836,647,1435,89,272,558,1163,422,527,58,268,326,831,157,49,323,151,1805
Taurean Waller-Prince,59,10,981,114,285,33,102,81,183,74,94,25,132,157,55,43,27,61,96,335
T.J. Warren,66,59,2048,403,814,26,98,377,716,119,154,125,214,339,75,76,39,57,175,951
C.J. Watson,62,9,1012,96,248,32,105,64,143,57,66,16,73,89,114,43,2,47,84,281
Briante Weber,40,0,410,50,120,2,20,48,100,22,32,16,36,52,42,24,2,16,32,124
David West,68,0,854,135,252,3,8,132,244,43,56,47,156,203,151,42,48,78,105,316
Russell Westbrook,81,81,2802,824,1941,200,583,624,1358,710,840,137,727,864,840,133,31,438,190,2558
Okaro White,35,0,471,33,87,12,34,21,53,20,22,25,57,82,21,10,10,18,52,98
Isaiah Whitehead,73,26,1643,204,508,44,149,160,359,91,113,32,152,184,192,42,36,142,175,543
Hassan Whiteside,77,77,2513,542,973,0,0,542,973,225,358,293,795,1088,57,56,161,154,226,1309
Andrew Wiggins,82,82,3048,709,1570,103,289,606,1281,412,542,103,226,329,189,82,30,187,183,1933
C.J. Wilcox,22,0,108,8,31,3,15,5,16,2,2,4,8,12,12,2,1,6,8,21
Alan Williams,47,0,708,138,267,0,1,138,266,70,112,94,198,292,23,27,32,37,125,346
Marvin Williams,76,76,2295,297,704,124,354,173,350,131,150,89,409,498,106,58,53,60,134,849
Reggie Williams,6,0,79,8,23,5,11,3,12,6,7,2,4,6,4,3,0,0,2,27
Troy Williams,60,32,1114,146,334,36,124,110,210,42,64,30,108,138,50,54,20,66,120,370
Kyle Wiltjer,14,0,44,4,14,4,13,0,1,1,2,4,6,10,2,3,1,5,4,13
Justise Winslow,18,15,625,80,225,7,35,73,190,29,47,23,71,94,66,27,6,33,52,196
Jeff Withey,51,1,432,55,103,0,1,55,102,36,48,52,69,121,7,16,32,14,52,146
Christian Wood,13,0,107,12,23,0,5,12,18,11,15,14,15,29,2,3,6,7,11,35
Metta World Peace,25,2,160,19,68,9,38,10,30,10,16,5,15,20,11,9,2,7,18,57
Brandan Wright,28,5,447,83,135,0,1,83,134,23,35,31,47,78,15,11,20,10,42,189
Delon Wright,27,0,446,49,116,10,30,39,86,42,55,16,32,48,57,27,11,25,31,150
James Young,29,0,220,25,58,12,35,13,23,6,9,6,20,26,4,10,2,4,15,68
Joe Young,33,0,135,26,72,5,23,21,49,11,15,1,16,17,15,4,0,5,5,68
Nick Young,60,60,1556,272,633,170,421,102,212,77,90,25,112,137,58,37,14,36,137,791
Thaddeus Young,74,74,2237,362,687,45,118,317,569,45,86,131,318,449,122,114,30,96,135,814
Cody Zeller,62,58,1725,253,443,0,1,253,442,133,196,135,270,405,99,62,58,65,189,639
Tyler Zeller,51,5,525,78,158,0,1,78,157,22,39,43,81,124,42,7,21,20,61,178
Stephen Zimmerman,19,0,108,10,31,0,0,10,31,3,5,11,24,35,4,2,5,3,17,23
Paul Zipser,44,18,843,88,221,33,99,55,122,31,40,15,110,125,36,15,16,40,78,240
Ivica Zubac,38,11,609,126,238,0,3,126,235,32,49,41,118,159,30,14,33,30,66,284
